page_no,scene_title,text
59,  N179      INT. BERLIN TAXI #2 -- EARLY MORNING (CONT)," N179                THE DRIVER starting up the car, as --                                       BOURNE                         (That black SUV.  Fifty Euros if you keep                         me close.)                 THE DRIVER smiles and --      "
59,  179I pt.  INT. BERLIN AIRPORT HOTEL -- EARLY MORNING, 179I pt.                KIRILL walks down the same hallway Gretkov came to meet him               last time.                 A GUY carrying a briefcase toward him.  Stopping for a               moment to light a smoke.  Letting KIRILL take charge of the               briefcase.  Smooth.  Like it never happened --      
59,  180       EXT. BERLIN HQ/COMMAND POST -- DAY, 180                The SUV rolling up.  The CAB continuing past and stopping               at the corner.      
60,  A180      INT. CAB -- DAY," A180                BOURNE looking back out the rear window.                 HIS POV                As they pile out of the van, start inside.  Acknowledged by               a SECURITY DETAIL pretending to loiter outside.  As we               hear:                                       PAMELA (VO)                         -- Munich to Berlin, check everything --                         flights -- trains -- police reports --                         that'll be Box #1, Teddy that's yours --                               (continuing as--)                        60.    "
60,  179I pt.  INT. BERLIN HOTEL ROOM -- DAY, 179I pt.                KIRILL opening the briefcase.  TWO AUTOMATIC PISTOLS.               SILENCERS.  AMMO.  Care package.      
60,  181       EXT. BERLIN ROOFTOP -- DAY," 181                A bulkhead opening.  BOURNE stepping out among the               satellite dishes.  Unpacks a bag: telescope, water, food,               and we hear:                                       PAMELA (VO)                         -- Box #2, call it Prior German                         Connections -- Nicky, I want to re-run all                         Bourne's Treadstone material, every                         footstep -- Kim, Box #3 -- let's call it                         Munich Outbound --                               (continuing as--)      "
60,  182       INT. BERLIN HQ/COMMAND POST -- DAY," 182                We've been hearing it, now we're seeing it: PAMELA at the               chalkboard -- ABBOTT backing her up -- everyone else spread               around -- they're re-grouping -- urgently -- behind them *               cots are being set up -- food, water stacked up -- *                                       PAMELA                         -- let's stay on the local cops, we need                         a vehicle -- parking ticket -- something  --                       Langley's offered to upload any satellite                         imaging we need, so let's find a target to                         look for.                               (to Zorn)                         Danny, Box #4 -- I need fresh eyes --                         review the buy where we lost the three                         million -- timeline it with what we know                         about Bourne's movements.  Turn it upside                         down and see how it looks --                               (continuing as--)      "
61,  183       EXT. TELESCOPIC POV -- DAY," 183                A decent view into the Berlin HQ.  Two windows.  One offers               a look at an empty kitchenette.  The other, a nice shot of               the bullpen area.  It looks like they are in for the long *               haul.  There's TEDDY pacing past...a glimpse of ZORN *               conferring with ABBOTT...now KIM talking on the phone.                  61.    "
61,  184       EXT. BERLIN ROOFTOP -- DAY," 184                BOURNE -- eyes locked on the target.  Scanning.  Waiting.                 And then, something changes.  Suddenly, there's something               down there that's clearly a great deal more electric than               what he's seen so far --       A184      TELESCOPIC POV  A184                NICKY! -- she's just come into the kitchenette -- pouring               herself a cup of coffee.  Nicky who he knows.  And --                 BOURNE lowering the telescope.  Yes.  Now he's getting               somewhere.  Thinking it through, as --        185    *     "
63,  186       INT. KITCHENETTE -- BERLIN HQ/COMMAND POST -- DAY," 186                NICKY is joined by PAMELA who goes for the coffee.                                       PAMELA                         Is it fresh?                                       NICKY                         It's got caffeine in it.  That's all I                         know.                 Before PAMELA can pour, her cell phone rings.  She *               answers. *                                       PAMELA                         Pamela Landy.                                       BOURNE/PHONE                         I was at the Westin this morning.  I could *                         have killed you. *                                       PAMELA                         Who is this?                 INTERCUT WITH ROOFTOP                                       BOURNE *                         It's me. *                                       PAMELA                               (Holy Christ)                         Bourne ?            62.                 NICKY reacts to the name.  Runs to the other room to try                and start a trace.                                       PAMELA (cont'd) (CONT'D)                         What do you want?                                       BOURNE                         I want to come in.                 He wants to come in! -- it's like a bomb going off -- NICKY               back in with Conklin -- PAMELA waving for a pencil.                                       PAMELA                         Okay, how do you want to do it? *                                       BOURNE                         I want someone I know to take me in. *                                       PAMELA                         Who?                                       BOURNE                         There was a girl in Paris.  Part of the                         program.  She used to handle the                         medication.                 AND NOW WE STAY WITH                PAMELA -- her eyes flicker over to NICKY.                                       PAMELA                         What if we can't find her?                                       BOURNE/PHONE                         It's easy.  She's standing right in front                         of you.                 Busted.  *                                     PAMELA *                         Okay, Jason, your move. *                                       BOURNE *                         Alexanderplatz.  30 minutes.  Under the *                         World Clock.  Alone.  Give her your *                         phone. *                 Click.  The line goes dead -- Pamela steps away from the *               window, realizing he's on one of the roofs out there! *                    63.    "
63,  A186      EXT. BERLIN ROOFTOP -- DAY, A186                As the bulkhead door swings in the wind -- BOURNE is gone.      
64,  B186      INT. BULLPEN -- BERLIN HQ/COMMAND POST -- DAY," B186                Everyone gathered.  A big, detailed MAP of ALEXANDERPLATZ *               spread on the table.                                       ZORN *                         Here's the clock -- shit -- he's put her *                         in the middle of everything. *                                       CRONIN *                         -- it's a nightmare -- we'll never get her *                         covered. *                                       ABBOTT                         Call a Mayday into Berlin station.  We                         need snipers, DOD, whatever they got.                                       PAMELA                         Snipers?  Hold on -- he said he wants to *                         come in.                                       ABBOTT                         My ass he does.  You're playing with fire,                         Pamela.  Marshall said nail him to the *                         wall.  I don't know how you interpreted *                         that, but I don't think he meant *                         repatriate him. *                                       PAMELA                         Don't you want answers?                                       ABBOTT                         There are no answers.  There's either                         Jason Bourne alive or Jason Bourne dead.                         And I for one would prefer the latter.                         And what about her?                               (points to Nicky)                         You just send her out to this lunatic with                         no protection?                 PAMELA looks to NICKY.                                       PAMELA                         What do you think?  Is he coming in?                    64.                                       NICKY                         I don't know.  He was sick.  He wanted                         out.  I believed him. *                                       PAMELA                         Alright...                 PAMELA gestures to ABBOTT, CRONIN, TEDDY.                                       PAMELA (CONT'D) *                         ...make the call.  Get a wire on her.  If *                         it starts to go wrong, take him out.        187    *     "
64,  A187      EXT. BERLIN STATION/MOTORPOOL -- DAY," A187                The rear of THE OFFICIAL BERLIN C.I.A. HQ -- and here they               come -- TEN DELTA DUDES in civvies, sprinting to A COUPLE               VEHICLES with DRIVERS ready and engines running and -- *        B187-C187    *     "
65,  D187      INT. BULLPEN -- BERLIN HQ/COMMAND POST -- DAY," D187                NICKY, her hands overhead as -- ZORN tapes a TRANSMITTER               and BATTERY between her shoulder blades -- TEDDY and CRONIN *               plot the area with TWO MEN plainclothed DELTA TEAM -- KIM *               and KURT on their own lines. *                                       KIM *                               (this just in) *                         They got the number.  Bourne's calls came *                         from Nevins' phone.  The field agent in *                         Genoa. *                                       TEDDY *                         Nevins is Bourne? *                                       ABBOTT *                               (losing it) *                         Are you an idiot?!  Bourne must've cloned *                         his phone! *                 An embarrassed silence.  Abbott mad at himself for losing *               his temper -- looking up to find Pamela's eyes on his. *                                       ABBOTT (cont'd) (CONT'D) *                         I hope you know what you're doing -- *            65.      E187-F187    *     "
65,  G187      EXT. ALEXANDERPLATZ -- DAY," G187                In all its vastness -- Alone -- there's the WORLD CLOCK -- *               NICKY waiting on the periphery, TWO PLAIN-CLOTHED DELTAS               nearby.                 IN QUICK SUCCESSION -- NICKY -- BINOCULAR POV -- SNIPER               SCOPE POV -- on a VIDEO MONITOR.      "
65,  H187      INT. BULLPEN -- COMMAND POST -- DAY, H187    *                Everyone waiting.  Holding their breath.  Watching NICKY *               standing as... *      
65,  J187      EXT. ALEXANDERPLATZ -- WORLD CLOCK -- DAY, J187                NICKY'S (Pamela's) PHONE rings.  She answers as a yellow *               TRAM approaches... *                                       BOURNE *                         See that tram coming around the corner? *                                       NICKY *                         Yes. *                                       BOURNE *                         Get on it. *                 She turns and walks as the TRAM arrives.  The DELTA DUDES *               start moving... *      
66,  K187      EXT. ALEXANDERPLATZ -- DAY," K187    *                The yellow TRAM arrives.  NICKY enters.  One of the DELTA *               DUDES just barely joining her.  The TRAM begins moving. *               NICKY looks around nervously.  Nothing happens.  The TRAM *               moves about 500 yards across the PLATZ.  Stops at the next *               stop.  People get on and off.  NICKY and DELTA DUDE relax *               a bit.  Doors begin to close. *                 And just like that, BOURNE swoops in beside NICKY!  Flashes *               a gun.  *                                     BOURNE *                         Walk. *                66.                 BOURNE takes her arm and they just get off as the doors *               close leaving the DELTA DUDE behind.  They disappear down *               into the PEDESTRIAN SUBWAY. *        L187-M187    *     "
66,  N187      INT. BULLPEN -- BERLIN H.Q. -- DAY," N187    *                A madhouse, a video feed on a monitor.                                       PAMELA                         Where's Nicky?                 As they realize she's gone --                                       ABBOTT                         Goddamn it -- I told you.                                       CRONIN                         Listen!  Listen!                 He cranks the speaker.                                       BOURNE'S VOICE                         What did I say?  What did I tell you in                         Paris?        O187    *     "
67,  P187      INT. PEDESTRIAN SUBWAY -- DAY," P187                                      BOURNE                         What were my words?                               (but she can't speak)                         Leave me alone!  Leave me out of it!                         But you couldn't do that, could you?                                       NICKY                         I did...Jason, I swear, I did...I told                         them... I told them I believed you...                                       BOURNE                         Who is Pamela Landy?                                       NICKY                         You hear me?  I believed you.                                       BOURNE                         IS SHE RUNNING TREADSTONE? *            67.    "
67,  Q187      INT. BULLPEN -- BERLIN H.Q. -- DAY, Q187    *                PAMELA all ears.                                       NICKY'S VOICE                         She's CI.  Counterintelligence.                         She's a Deputy Director.                                       BOURNE'S VOICE                         What the hell is she doing?      
67,  R187      INT. PEDESTRIAN SUBWAY -- DAY," R187                                      NICKY                         What's she  doing?                Nicky looks at him like he's crazy.                                       BOURNE                         Why is she trying to kill me? *                                       NICKY                         They know!                               (defiant, reckless)                         They know you were here.  They know you                         killed these two guys.  They know you and                         Conklin had something on the side.  They                         don't know what it is, but they know!                 As BOURNE tries to process --      "
67,  S187      INT. BULLPEN -- BERLIN H.Q. -- DAY, S187    *                Radio chatter going wild.  Panic.                                       DELTA V.O.                               (into radio)                         Where are they?  Anyone?      
69,  T187      INT. PEDESTRIAN SUBWAY -- DAY," T187                Still walking.  BOURNE knowing he must be driving them *               nuts.                                       BOURNE                         How do they know that?  How can they know                          any  of that?                 68.                                       NICKY                         What is this, a game?                                       BOURNE                         I want to hear it from you.                 She looks at him.  Is he crazy?  What?                                       BOURNE (cont'd) (CONT'D)                         Say it .                                     NICKY                         Last week an Agency field officer went to                         make a buy from a Russian national.                                       BOURNE                         A Russian?                                       NICKY                         It was Pamela Landy's op.  The guy was                         going to sell-out a mole or something.  I                         haven't been debriefed on exactly what it                         was.                                       BOURNE *                         Last week?  When? *                 Is she supposed to answer? -- Nicky shrugs -- on quicksand.                                       NICKY                         And you got to him before we could.                                       BOURNE                         I killed him ???                                     NICKY                         You left a print!  There was Kel that                         didn't go off!  There was a partial print,                         they tracked it back to Treadstone!  They                         know it's you!                                       BOURNE                         I  left a fingerprint!  You fucking *                        people. *                 SUDDENLY --                 BOURNE'S jerking her down to a LOWER LEVEL --                      69.    "
69,  U187      INT. BULLPEN -- BERLIN H.Q. -- DAY, U187    *                Big static on the speakers.  DELTA C.O. cooly checks the               map.                                       DELTA C.O.                         She must be in one of the pedestrian                         tunnels.      
69,  V187      EXT. ALEXANDERPLATZ -- DAY," V187                As DELTA DUDES fan out, head for the subway entrances.      "
69,  W187      INT. PEDESTRIAN SUBWAY -- SECTION TWO -- DAY, W187                An INTERSECTION of THREE TUNNELS.                 BOURNE leads NICKY far left.  She looks really scared.      
69,  188       INT./EXT. BERLIN AIRPORT -- DAY, 188                GRETKOV has landed.  Just coming off the flight --        189-A189    *       190    *     
70,  191       INT. PEDESTRIAN SUBWAY -- SECTION FOUR -- DAY, 191                                      BOURNE *                         What was Landy buying?  What kind of *                         files? *                               (when she doesn't answer *                                instantly--) *                         WHAT WAS SHE BUYING ? *                                      NICKY                         Conklin!  Stuff on Conklin!                               (trying not to lose it)                 Suddenly he rips the microphone out from under her shirt --               he knew of course -- dropping it as he yanks her along.                      70.    
70,  192       INT. BULLPEN -- BERLIN H.Q. -- DAY, 192    *                As the transmission goes dead.  Christ...  ABOOTT drills a                look at PAMELA.  Your fault!                                       PAMELA *                               (ignoring Abbott) *                         That phone has a locator on it. *                 KURT and KIM work their stuff. *      
71,  193       INT. PARKING GARAGE -- DAY," 193                Gloomy, deserted.  A mausoleum.  Here come NICKY and                BOURNE.  She knows she's on her own now.  BOURNE dead               serious.  Looks at his watch. *                                       BOURNE                         Why are you  here, then? *                                      NICKY *                         Please -- I'm only here because of Paris -- *                         because they can't figure out what you're  *                         doing -- I'm here because of Abbott -- *                                       BOURNE *                         Abbott? *                                       NICKY *                         He closed down Treadstone -- he took care *                         of me after Paris... *                                       BOURNE *                         So when was I here? *                                       NICKY *                         What do you mean? *                                       BOURNE                         For Treadstone.  In Berlin.  You know my                         file.  I did a job here.  When?                                       NICKY                         No.  You never worked Berlin.                                       BOURNE                         My first job. *                                       NICKY                         Your first assignment was Geneva.                71.                                       BOURNE                         That's a lie!                                       NICKY                               (emphatic)                          You never worked Berlin...                 BOURNE raising the gun -- eyes gone dead -- oh, shit...                                       NICKY (CONT'D)                         No...Jason...please...                                       BOURNE                         I was here!                                       NICKY                         ...it's not in the file...I swear...I                         know your file...your first job was *                         Geneva!...I swear to God you never worked *                         here!... *                 He's so ready to kill her.  NICKY starting to cry -- hands                over her face -- covering up -- bracing for the bullet she               knows is coming --                 BOURNE -- about to pull the trigger --                 SUDDENLY       A193      FLASHBACK! -- a moment -- a shard -- A WOMAN'S FACE --  A193              backing away -- begging -- begging us  -- begging the camera              -- PLEADING FOR HER LIFE IN RUSSIAN -- this awful blur of               desperation and panic -- fear -- too fast -- too panicked --      B193      JAM BACK TO B193                 BOURNE swamped -- thrown -- hesitating --                 CLOSE ON NICKY                 Sobbing now -- when? -- finally looking out, and --                  BOURNE IS GONE!      "
72,  C193      INT. BERLIN HQ/COMMAND POST -- NIGHT," C193                An hour later.  Whole new vibe.  Siege mode.  Curtains               drawn.                 THREE DELTA DUDES parked around the room.  KURT and KIM *               working the phones and screens.              72.                 The mood is dark.  PAMELA, ABBOTT, CRONIN all in here,               the ""safe"" zone, away from the windows --                                       CRONIN                               (on a cell phone)                         Got it, yeah.  Hang on...                               (to the room)                         Okay, they've got three guys out front *                         and another two taking the back stairs. *                         No word on Nicky. *                                       KURT *                               (looks up from screen) *                         Even if she's still got your phone, it *                         might take awhile -- signal's hard to *                         trace down there. *                 PAMELA turns, looking at the photo of BOURNE in Naples. *               Introspective. *                                       PAMELA                         So what's he doing?  You believe him? *                                       ABBOTT *                         It's hard to swallow. *                               (beat) *                         The confusion -- the amnesia -- but he *                         keeps on killing?  It's more calculated *                         than sick. *                               (real soft sell) *                         What about Nicky?  She's the last one to *                         see Bourne in Paris.  She's the one he *                         asks for.  They disappear... *                                       PAMELA *                         Well, whatever he's doing, I've had *                         enough -- this is now a search and *                         destroy mission. *                               (turns to the room) *                         I want the Berlin police fully briefed *                         and -- *                               (handing the photo to Cronin) *                         -- get this out to all the agencies. *                 ABBOTT agrees...        194    *     "
73,  195       EXT. BERLIN STREET -- NIGHT, 195                A BMW parked in the shadows.            73.    
73,  196       INT. BMW -- NIGHT," 196                KIRILL wearing headphones, listening to a BERLIN POLICE               FREQUENCY.  There's an INTERPOL ""WANTED"" PICTURE OF JASON               BOURNE there on the seat.  He's in play.      "
73,  D193      INT. BERLIN HQ/COMMAND POST -- NIGHT," D193                Quiet, intense activity.  MILITARY RADIOS CHIRPING here               and there.                    ZORN moving through the bullpen, carrying a cup of coffee,               heading back toward PAMELA'S OFFICE where --                 ABBOTT is leaning in the doorway.  Past him, inside, we can               see PAMELA in the midst of a tough phone conversation.               CRONIN and THE DELTA BOSS sitting there with her.                                       ZORN                               (the coffee)                         Sir...                                       ABBOTT                         Thanks.                 ABBOTT nods.  Takes a sip.  Looking beat.                                       ZORN (cont'd)                         I have that number you wanted...                 ABBOTT hesitates -- but only a moment -- he never asked for               a number.  But he's playing along.  Looking satisfied as               ZORN hands him a slip of paper.                                       ABBOTT                               (glancing at it)                         She say what time I should call?                                       ZORN                         The sooner the better.                 ABBOTT nods.  Pockets the paper.  Turning back, as if it               were nothing and --      "
74,  E193      INT. BERLIN CYBER CAFE -- NIGHT," E193                Massive.  Modern.  Busy.  BOURNE in the back.  In a corner.                74.                 Doing a search HOTEL BRECKER 1997-1999.  Scrolling.  And               then stopping.  Freezing.  Because...                 ON THE MONITOR                A BERLIN NEWSPAPER ARCHIVE.  There it is.  Written large in               loud, tabloid German:                                               (OIL REFORMER MURDERED)  *                There's a photograph of the Berlin Police carrying two body               bags out of the Hotel Brecker.  There's a caption                identifying the dead as Vladimir and Sonya Neski.  There's                even a long article accompanying all this, but it's in               German and we don't need to read it anyway, because --                 BOURNE is reading it.                 And we're reading in his face.  That he is rocked .  That he              has found another bottom to the abyss.      "
74,  F193      INT./EXT. GLASS OFFICE BUILDING -- NIGHT, F193                Remember the building where Vic was killed?  We're back.                 ZORN and ABBOTT making their way in.  Zorn steering them               away toward a stairwell at the back...      
76,  194       INT. GLASS OFFICE BUILDING ELECTRICAL CLOSET -- NIGHT," 194                ZORN and ABBOTT have snuck in here.  Work light.  Signs               of repair on the wall.                                       ZORN                               (nervous)                         I did my box work, but I wanted to show                         you before I showed Landy.  I came out *                         here last night because none of this was                         making any sense.  I mean, I'm with you on                         this, Conklin was a nut, but a traitor?  I                         just can't get there.                                       ABBOTT                         What do you have, Danny?                                       ZORN                               (the electrical riser)                         You put a four-gam Kel on here and it's                         gonna take out power to the building.  You                         know that.  What you can't know, is if                         it's gonna blow the room with it.            75.                                       ABBOTT                         And?                                       ZORN                         There were two charges, they were supposed                         to go off simultaneously.  The second one,                         the one that didn't go off, was down                         here...                               (pointing it out)                         First of all, this is nothing, it's a sub-                         line for the breaker above.  Second, why                         put the charge all the way down here?  If                         you're good enough to get in here and                         handle the gear, you're good enough to                         know you don't need this.                               (beat)                         Bourne would know.                                       ABBOTT                         It was staged?                                       ZORN                         Is it a slam dunk?  No, but...                                       ABBOTT                         Jesus...                                       ZORN                               (spit-balling)                         Okay.  What if someone decided to cover                         their tracks by blaming Conklin and                         Bourne.  What if Bourne didn't have                         anything to do with this?                                       ABBOTT                         Keep going...                                       ZORN                         Something's been going on here in Europe.                         And it's still going on.  Post Conklin.                         Who's been in Berlin?                                       ABBOTT                         Lots of people...                                       ZORN                         Including Landy...                               (jumping off the cliff)                         She had access to the archives.                 ZORN hesitates.  But it's out.  It's in the room.                76.                                       ABBOTT                         Who else knows about this?                                       ZORN                         Nobody.  You.                               (he's scared)                         I had to tell you, right?                                       ABBOTT                         Show me again...                                       ZORN                         Okay...                               (turning away, when--)                 ABBOTT -- out of nowhere  -- his hand jamming up into ZORN'S              RIBCAGE! --  more than his hand , because ZORN'S EYES barely              have a moment to register shock before they bulge.               Clenching the younger man's body, pulling him close, as he               turns the knife and --                 ZORN is dead.                 ABBOTT without hesitation.  Shifting away from the blood.                 Letting the body fall.                 ABBOTT standing there.  Listening.  Checking himself for               blood.  He's clean.                 Looking for a place to stash the body, as --      "
77,  A194      EXT. HOTEL BRECKER -- NIGHT," A194                BOURNE across the street.  Staring at the hotel.  Haunted.               As a POLICE SIREN edges closer through the empty streets --       AA194     FLASHBACK!  AA194                We are a POV -- a stake-out -- watching the HOTEL across              the way --                 The POV checks its watch -- checks the perimeter, the                street deserted, foreboding --                 THE HOTEL                 Our destiny waiting up there somehow --                 -- and suddenly a LIGHT COMES ON -- a terrible signal --               and as the car suddenly lurches forward and around the               corner --           77.       AB194     BACK TO: AB194                 BOURNE muscling up his backpack.  Heading toward the hotel.      "
78,  B194      INT. HOTEL BRECKER LOBBY -- NIGHT," B194                And hotel.  Fusty but comfortable.  And busy.  GUESTS               and STAFF doing their thing.  A CLERK behind the reception               desk.                                       CLERK                         Guten Abend.                                       BOURNE                               (playing it American)                         Guten Abend.                                       CLERK                               (switching to English)                         Can I help you?                 SUDDENLY       BA194     FLASHBACK! -- the lobby, but seven years ago --  BA194              across the room -- A MAN buttoning a raincoat as he              passes -- NESKI! --      BB194     JAMMING BACK TO BB194                 BOURNE stalled -- coming back, as --                                       CLERK (cont'd) (CONT'D)                         Sir?                               (smiling)                         Do you have a reservation?                                       BOURNE                         No.  Sorry.  I just got in...                               (rallying back)                         I -- Is room 645 available?                               (off the Clerk's look)                         I stayed there before.  My wife and I.                 THE CLERK nods, checking the register.  THE CONCIERGE just               down the desk glancing over at BOURNE.  Nodding hello and --                                       CLERK                         I'm sorry, that room is occupied.  Would                         room 644 be okay, it's just across the                          hall...                   78.                                       BOURNE                         Sure.  That's fine.  Danka.        194C-D        195       SHOT  195    *     "
78,  A196      INT. HOTEL BRECKER ELEVATOR -- NIGHT," A196                BOURNE riding up.  Alone.  Dread mounting, and --      "
78,  197       INT. HOTEL BRECKER LOBBY -- NIGHT," 197                THE CONCIERGE coming out of the office with a sheet of fax               paper.  Placing it quietly down beside THE CLERK and --                    THE FAX -- BOURNE'S FACE -- the same ""wanted"" picture and --      "
78,  198       INT. SIXTH FLOOR HALLWAY/HOTEL BRECKER -- NIGHT, 198                BOURNE off the elevator.  He makes his way down --                 HIS POV                 THE SIXTH FLOOR HALLWAY.  Suddenly scary.      
78,  A198      INT. BMW -- NIGHT," A198                KIRILL sitting up as THE POLICE RADIO starts broadcoasting               an ALL-POINTS BULLETIN, the words ""Hotel Brecker"" in there --                 KIRILL dropping the car into gear and --      "
79,  B198/200  INT. SIXTH FLOOR HALLWAY/HOTEL BRECKER -- NIGHT," B198/200                BOURNE walking.  There's his room, #618.  But across the                hall and down one...                 ROOM #645.  BOURNE steps up.  Listening a moment.  Then he               knocks.  Nothing.                 He pulls A KNIFE from his pocket.                79.                 Checks the hallway.  He's clear.  Wedges the blade in there               and -- one...two... Pop .      199     "
79,  201       INT. ROOM #645 HOTEL BRECKER -- NIGHT," 201                BOURNE enters a suite.  Closing the door behind him.                 -- And TREADSTONE BOURNE, seven years ago, does the same --                BOURNE shakes off the flash, looks around.  The lights are              on.  An open suitcase on the bed.      "
79,  202       INT. HOTEL BRECKER LOBBY -- NIGHT," 202                THE CLERK, THE CONCIERGE and THE MANAGER are huddled in               conversation with THREE BERLIN COPS who've just arrived               and --                 Trying to be discreet, but... this is clearly serious.      "
79,  203       INT. ROOM #645 HOTEL BRECKER -- NIGHT, 203                BOURNE just standing there.  Breathing it in.                 TREADSTONE BOURNE doing the same --  *       204     
79,  205       INT. ROOM #645 HOTEL BRECKER -- NIGHT, 205                BOURNE with his hand on the wall.  As if he can feel it.               Like it's all still here.  Heart pounding and --      
80,  206       INT. BERLIN HQ/COMMAND POST -- NIGHT," 206                Chaos -- Bourne's been found -- everybody rushing out --                                       CRONIN                               (to Teddy)                         -- go -- take the van! --                                       PAMELA                         -- the hotel -- how far? --              80.                                       TEDDY                         -- five, six minutes --                                       CRONIN                         -- Kurt -- you're here! -- keep the comm                         line open! --      "
80,  207       INT. ROOM #645 -- NIGHT, 207                BOURNE standing there.  Looking out the window.  The images               -- the Television Tower over the city.  Everything but the               rain.      
80,  208       EXT. HOTEL BRECKER COURTYARD -- NIGHT, 208    *                The BERLIN POLICE SWAT TEAM TRUCK arrives -- discreetly --               by the back loading area.      
80,  209       INT. ROOM #645 BEDROOM -- NIGHT," 209                BOURNE flat against the wall.  Just as he was.  Leaning               forward to see in THE MIRROR.  Just so, and... There .      210     "
81,  211A      INT. ROOM #645 -- FLASHBACK -- NIGHT," 211A                A MAN in the mirror -- pacing into view -- NESKI -- on the              phone -- a talking in Russian -- it's raining --                 BOURNE standing there -- Treadstone Bourne, still wet from               the rain -- one eye on that mirror and the other on A               SYRINGE that he prepped -- a predator --                 THE MIRROR -- the doorbell rings -- NESKI gets off the phone               --                BOURNE tensing -- new element -- factoring and --                 THE MIRROR -- as NESKI opens the door -- a new flood of               Russian -- happy -- it's MRS. NESKI -- a surprise! -- but               he's very happy to see her --                 BOURNE pocketing the syringe -- new weapon -- pistol --               quiet -- methodical -- watching the lovers bill and coo and               --               81.                 THE MIRROR -- Mr. Neski kisses her -- takes her bag --              she's hanging up her coat and moving now toward the               bathroom and --                 BOURNE checking the window -- the weapon -- his balance and               --                THE MIRROR -- MRS. NESKI'S FACE right there -- seeing him --               so freaked she can't even register it yet --                 BOURNE with the pistol in her face -- finger to his lips --               ""shhh..."" -- but she knows -- backing away -- begging for               her life in Russian -- this awful blur of desperation and               fear --                 MR. NESKI turning back to see his wife backing out of the               bathroom and BOURNE with the pistol -- with no hesitation --                 SNAP! -- one shot -- into Neski's heart -- he's down --                 MRS. NESKI -- what's just happened? --                 BOURNE has her wrist in his hand -- raising it to her head -               - to where he holds the pistol -- her fingers -- his               trigger -- SNAP! -- letting the gun fall with her as she               drops and --                 BOURNE starts to move -- starts to prep his evac -- but               there's something on the dresser --                 A PHOTOGRAPH -- the Neski family -- father, mother and a               TWELVE-YEAR-OLD GIRL -- arms around each other -- happy and               --                BOURNE staring at the picture -- undone for a moment --                HARD OUT FLASHBACK TO      "
82,  212       INT. ROOM #645 -- NIGHT, 212                BOURNE -- our Bourne -- standing where they fell.                 Frozen there.  Paralyzed by the shame of original sin.        212 pt       213-214                 82.    
82,  215       INT. HOTEL BRECKER LOBBY -- NIGHT, 215                A SWAT CAPTAIN conferring discreetly with the MANAGER.                                       MANAGER                         He's in 618.                                       SWAT CAPTAIN                         Call all the guests on the 6th floor.                         Tell them to remain in their rooms.  Tell                         them it's a police order.  Then start on                         the 5th and 8th floors.      
82,  A215      INT. ROOM #645 -- NIGHT, A215                BOURNE -- trying to stabilize -- to breathe --      
82,  216       INT. STAIRWELL -- NIGHT, 216                The SWAT team on their way up.      
82,  A216      INT. ROOM #645 -- NIGHT, A216                RING!  RING!  BOURNE snaps back as the phone in his room               STARTS TO RING.  Four times and it stops.                 BOURNE freezes.  Footsteps.  Shadows under the door.  He               leans into the peephole.                 BOURNE'S POV                 ROOM #644.  GERMAN S.W.A.T. TEAM.  Taking position.      
82,  B216      INT. ROOM #645 -- NIGHT, B216                BOURNE backs away -- surveys the room -- his watch -- his               balance and --      
83,  C216      EXT. STREET OUTSIDE THE HOTEL BRECKER -- NIGHT, C216                Quickly turning into a major event -- HALF-A-DOZEN POLICE               VEHICLES already parked here -- MORE ARRIVING every minute -               - PASSERSBY mixing with the COPS and PEOPLE FROM THE HOTEL               who've just come out and --                   83.                 KIRILL jogging over from THE BMW he's just parked and --        217    *       218     
83,  219       INT. ROOM #644 HOTEL BRECKER -- NIGHT, 219                WHAM! -- THE DOOR KICKED OFF ITS HINGES! -- SWAT TEAM               flooding into BOURNE'S EMPTY HOTEL ROOM and --      
83,  A219      INT. ROOM #645 HOTEL BRECKER -- NIGHT, A219                BOURNE -- in motion  -- out the bathroom window and --     
83,  220       INT. HOTEL BRECKER SIXTH FLOOR HALLWAY -- NIGHT, 220                BERLIN SWAT LEADER gives order to search other rooms and --      
83,  221       EXT. HOTEL BRECKER FACADE -- NIGHT," 221                BOURNE up the water pipe to the roof -- as he arrives, a *               SWAT team member turns -- BOURNE pulls him over the edge -- *               fires point blank into the 2nd SWAT member's vest -- *               stunning him.  He's moving fast -- scrambling along the *               roof and into the night... *      "
83,  222       INT. SIXTH FLOOR HALLWAY ROOM #645 -- NIGHT, 222                WHAM!  The door caves in and the SWAT team moves enters #               645 -- rushing to the window -- Nobody -- No sign of him               and --      
83,  223       EXT. STREET OUTSIDE THE HOTEL BRECKER -- NIGHT, 223                KIRILL heading for THE HOTEL ENTRANCE blocked by the *               exiting guests. *      
84,  225       INT. HOTEL BRECKER SIXTH FLOOR HALLWAY -- NIGHT, 225                Too many cops and radios --                  84.                                       SWAT TEAM BOSS                               (trying to take charge)                         (-- LISTEN UP! -- WE'RE CLEARING THE                          BUILDING! -- ROOM BY ROOM! --)      
84,  226       EXT. STREET OUTSIDE THE HOTEL BRECKER -- NIGHT, 226                PAMELA jumping out of A VAN the moment it stops.  Seeing                it all.  The crowd.  The army of cops.  The searchlights               playing across THE HOTEL FACADE.  It's another disaster.      
